ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Procedura_Sintetica,Esito_ML,Volume solvente,Data_Quality_Flag,Exact_Duplicate_Group,Outcome_Conflict_Flag,Training_v5_2_Status,Training_v5_2_Reason,Training_v5_2_Warning,Split_ID,Split_Set,Grouping_Variable,Split_Seed,Ligand_Text,Hydration_Number,Counterion_Class,Oxidation_State,Metal_Atomic_Number,Metal_Atomic_Weight,Metal_Group,Metal_Period,Metal_Block,Metal_Electronegativity,Source_Type,Source_Record_ID,PXRD_Confirmed,Evidence,Ligand_SMILES,Ligand_InChIKey,Future_Training_Status,Condition_Group_ID,Microwave_Power_W,Microwave_Power_Range,Heating_Ramp_min,Hold_Time_min,Cooling_Time_min,Sonication_Power_W,Sonication_Duration_min,Post_Heating_C,Post_Heating_Time_h
1,curc-ind,Curcumina,Zn,Zn(OAc)2·2H2O,DMF,Nessuno,80,72.0,0.1,0.05,2.0,no precipitato,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,curc-ind curcumina,2.0,acetate,2.0,30.0,65.38,12.0,4.0,d,1.65,legacy_project_dataset,1,,,,,FROZEN_V8_RECORD,,,,,,,,,,
3,curc-ind,Curcumina,Cu,Cu(OAc)2·H2O,DMF,Nessuno,80,72.0,0.1,0.05,2.0,no precipitato,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,curc-ind curcumina,1.0,acetate,2.0,29.0,63.546,11.0,4.0,d,1.9,legacy_project_dataset,3,,,,,FROZEN_V8_RECORD,,,,,,,,,,
8,curc-ind,Curcumina,Zn,Zn(OAc)2·2H2O,MeOH,Nessuno,80,72.0,0.1,0.05,2.0,precipitato nero,0,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,curc-ind curcumina,2.0,acetate,2.0,30.0,65.38,12.0,4.0,d,1.65,legacy_project_dataset,8,,,,,FROZEN_V8_RECORD,,,,,,,,,,
9,curc-ind,Curcumina,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,120,72.0,0.1,0.05,2.0,nessun precipitato,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,curc-ind curcumina,6.0,nitrate,2.0,30.0,65.38,12.0,4.0,d,1.65,legacy_project_dataset,9,,,,,FROZEN_V8_RECORD,,,,,,,,,,
11,B5,Altro,Ru,[Ru(p-cymene)Cl2]2,CH2Cl2,Nessuno,120,48.0,0.25,0.1,2.5,separato il solido per centrifugazione. Lavato con diclorometano 2 volte sempre tramite centrifuga,1,,solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,b5 altro,0.0,chloride,2.0,44.0,101.07,8.0,5.0,d,2.2,legacy_project_dataset,11,,,,,FROZEN_V8_RECORD,,,,,,,,,,
12,curc(III)_KC,Curcumina,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,80,48.0,0.1,0.05,2.0,"dopo 48 ore nessun precipitato, posto nella stufa a 100°C per 72h, ma ancora nessun precipitato, allora trasferito nella stufa a 120°, dopo 48h si è formato poco precipitato, filtrato e lavato con acetone.",1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,curc(iii)_kc curcumina,6.0,nitrate,2.0,30.0,65.38,12.0,4.0,d,1.65,legacy_project_dataset,12,,,,,FROZEN_V8_RECORD,,,,,,,,,,
13,curc(III)_KC,Curcumina,Zn,Zn(OAc)2·2H2O,DMF,Nessuno,120,16.0,0.05,0.05,1.0,dopo 16 ore si è formato già il precipitato nella vial,0,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,curc(iii)_kc curcumina,2.0,acetate,2.0,30.0,65.38,12.0,4.0,d,1.65,legacy_project_dataset,13,,,,,FROZEN_V8_RECORD,,,,,,,,,,
29,"3-nitro-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,150,24.0,0.1,0.1,1.0,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-nitro-4,4'-bipyrazole bipyrazole",4.0,nitrate,2.0,48.0,112.414,12.0,5.0,d,1.69,legacy_project_dataset,29,,,,,FROZEN_V8_RECORD,,,,,,,,,,
30,"3-nitro-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,150,24.0,0.1,0.2,0.5,Solvothermal,1,,salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-nitro-4,4'-bipyrazole bipyrazole",4.0,nitrate,2.0,48.0,112.414,12.0,5.0,d,1.69,legacy_project_dataset,30,,,,,FROZEN_V8_RECORD,,,,,,,,,,
31,"3-nitro-4,4'-bipyrazole",Bipyrazole,Ni,Ni(NO3)2,MeCN,Trietilammina (TEA),120,48.0,0.1,0.1,1.0,Solvothermal,0,,additive_canonicalized;numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730.0,"3-nitro-4,4'-bipyrazole bipyrazole",0.0,nitrate,2.0,28.0,58.693,10.0,4.0,d,1.91,legacy_project_dataset,31,,,,,FROZEN_V8_RECORD,,,,,,,,,,
