Lab_Record_ID,Sample_ID,Source_Row,Experiment_Date,Legante,Ligand_SMILES,Ligand_InChIKey,Metallo,Sale_Metallico,Counterion_Class,Hydration_Number,Oxidation_State,Solvente,Solvent_1,Solvent_1_mL,Solvent_2,Solvent_2_mL,Additivo_Colinker,Additive_Details,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume_solvente_mL,Procedura_Sintetica,Condition_Group_ID,Microwave_Power_W,Microwave_Power_Range,Heating_Ramp_min,Hold_Time_min,Cooling_Time_min,Sonication_Power_W,Sonication_Duration_min,Post_Heating_C,Post_Heating_Time_h,Outcome_code,Outcome_label,PXRD_Confirmed,Evidence,Training_Status,Exclusion_Reason,Data_Quality_Flag,Duplicate_Count,Replicate_Count
LAB-DDS-001,DDS1,4,2025-11-27,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O,H2O,12,,,Acido acetico,30 µL acido acetico glaciale,25,16,0.2,0.2,1,12,Room Temperature,"3-amino-4,4'-bipyrazole|zn|h2o|acido acetico|25|16|0.2|0.2|12|room temperature||||||",,,,,,,,,,1,Amorphous/uncertain,false,"Nessun precipitato dopo 16 h; annotazione XRD: non buono, amorfo",REVIEW,Contraddizione tra assenza di precipitato e materiale amorfo analizzato,outcome_ambiguous;manual_review_required,1,1
LAB-DDS-002,DDS2,11,2025-11-28,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O,H2O,10,,,Nessuno,,25,6,0.2,0.2,1,10,Room Temperature,"3-amino-4,4'-bipyrazole|zn|h2o|nessuno|25|6|0.2|0.2|10|room temperature||||||15",,,,,,,15,,,2,Crystalline MOF,true,PXRD con picchi corrispondenti all'articolo; IR coerente,INCLUDE,,laboratory_record;pxrd_reference_match,1,1
LAB-DDS-003,DDS3,19,2025-12-01,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O,H2O,10,,,Acido acetico + trietilammina (TEA),15 µL acido acetico glaciale; successivamente 37 µL TEA,25,16,0.2,0.2,1,10,Room Temperature,"3-amino-4,4'-bipyrazole|zn|h2o|acido acetico + trietilammina (tea)|25|16|0.2|0.2|10|room temperature||||||",,,,,,,,,,0,Failed,false,Nessun precipitato isolabile; sintesi dichiarata fallita,INCLUDE,,laboratory_record;time_inferred_overnight_16h;sequential_additives,1,1
LAB-DDS-004,DDS4,26,2025-12-02,"3,5-diamino-4,4'-bipyrazole",Nc1n[nH]c(N)c1-c1cn[nH]c1,DLWHCOVNOOTWOY-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,DMF,DMF,20,,,Nessuno,,120,4,0.2,0.2,1,20,Solvothermal,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|120|4|0.2|0.2|20|solvothermal||||||10",,,,,,,10,120,4,2,Crystalline MOF,true,"PXRD con picchi caratteristici, poco definiti",INCLUDE,,laboratory_record;pxrd_reference_match;poorly_crystalline,1,1
LAB-DDS-005,DDS5,33,,"3,5-diamino-4,4'-bipyrazole",Nc1n[nH]c(N)c1-c1cn[nH]c1,DLWHCOVNOOTWOY-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,DMF,DMF,15,,,Nessuno,,120,6,0.2,0.2,1,15,Solvothermal,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|120|6|0.2|0.2|15|solvothermal||||||10",,,,,,,10,120,6,2,Crystalline MOF,true,"PXRD con picchi caratteristici, poco definiti",INCLUDE,,laboratory_record;pxrd_reference_match;poorly_crystalline,1,1
LAB-DDS-006,DDS6,41,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O/DMF,H2O,10,DMF,1,Nessuno,,25,0.166667,0.2,0.2,1,11,Sonochemical,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|25|0.166667|0.2|0.2|11|sonochemical|||||60|10",,,,,,60,10,,,2,Crystalline MOF,true,"PXRD con picchi caratteristici, poco definiti",INCLUDE,,laboratory_record;pxrd_reference_match;poorly_crystalline,1,1
LAB-DDS-007,DDS7,49,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O/DMF,H2O,6,DMF,2,Nessuno,,120,0.583333,0.2,0.2,1,8,Microwave,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.583333|0.2|0.2|8|microwave|150|10|10|15||",150,,10,10,15,,,,,0,Failed,false,"Pochissimo precipitato, insufficiente per PXRD; sintesi dichiarata non riuscita",INCLUDE,,laboratory_record;insufficient_product,1,1
LAB-DDS-008,DDS8,56,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O/DMF,H2O,8,DMF,2,Nessuno,,70,2.333333,0.2,0.2,1,10,Sonochemical + thermal,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|70|2.333333|0.2|0.2|10|sonochemical + thermal|||||200|20",,,,,,200,20,70,2,0,Failed,false,Quantità di prodotto insufficiente; sintesi dichiarata non riuscita,INCLUDE,,laboratory_record;temperature_recovered_from_procedure;total_time_calculated,1,1
LAB-DDS-009,DDS9,63,,"3,5-diamino-4,4'-bipyrazole",Nc1n[nH]c(N)c1-c1cn[nH]c1,DLWHCOVNOOTWOY-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,DMF,DMF,20,,,Nessuno,,70,2.333333,0.2,0.2,1,20,Sonochemical + thermal,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|70|2.333333|0.2|0.2|20|sonochemical + thermal|||||200|20",,,,,,200,20,70,2,2,Crystalline MOF,true,PXRD analogo a DDS4; annotato poco cristallino,INCLUDE,,laboratory_record;temperature_recovered_from_procedure;total_time_calculated;poorly_crystalline,1,1
LAB-DDS-010,"DDS2,2",70,2025-12-10,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O,H2O,10,,,Nessuno,,25,16,0.3,0.3,1,10,Room Temperature,"3-amino-4,4'-bipyrazole|zn|h2o|nessuno|25|16|0.3|0.3|10|room temperature||||||",,,,,,,,,,2,Crystalline MOF,true,"PXRD molto buono, analogo a DDS2",INCLUDE,,laboratory_record;time_inferred_overnight_16h;pxrd_reference_match,1,1
LAB-DDS-011,DDS10,77,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O/DMF,H2O,8,DMF,2,Nessuno,,120,0.583333,0.2,0.2,1,10,Microwave,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.583333|0.2|0.2|10|microwave|200|10|15|15||",200,,10,15,15,,,,,2,Crystalline MOF,true,"PXRD molto buono, analogo a DDS2; IR coerente",INCLUDE,,laboratory_record;pxrd_reference_match,1,1
LAB-DDS-012,"DDS10,2",85,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O/DMF,H2O + ibuprofene,8,DMF,2,Ibuprofene,Soluzione di ibuprofene; concentrazione annotata in modo ambiguo,120,0.666667,0.2,0.2,1,10,Microwave; in situ drug loading,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|ibuprofene|120|0.666667|0.2|0.2|10|microwave; in situ drug loading|200|10|15|15||",200,,10,15,15,,,,,2,Crystalline MOF,true,PXRD annotato cristallino,EXCLUDE_SPECIAL,Sintesi con ibuprofene presente durante la formazione; dominio differente,laboratory_record;in_situ_drug_loading;drug_concentration_ambiguous,1,1
LAB-DDS-013,"DDS10,3",92,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O,H2O + ibuprofene,10,,,Ibuprofene,10 mL di soluzione di ibuprofene; concentrazione non riportata,120,0.666667,0.2,0.2,1,10,Microwave; in situ drug loading,"3-amino-4,4'-bipyrazole|zn|h2o|ibuprofene|120|0.666667|0.2|0.2|10|microwave; in situ drug loading|200|10|15|15||",200,,10,15,15,,,,,2,Crystalline MOF,true,PXRD annotato cristallino,EXCLUDE_SPECIAL,Sintesi con ibuprofene presente durante la formazione; dominio differente,laboratory_record;in_situ_drug_loading;drug_concentration_missing,1,1
LAB-DDS-014,"DDS10,4",99,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O/DMF,H2O,12,DMF,3,Nessuno,,120,0.666667,0.3,0.3,1,15,Microwave,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.666667|0.3|0.3|15|microwave|200|10|15|15||",200,,10,15,15,,,,,2,Crystalline MOF,true,PXRD cristallino; TGA inizialmente mostra solvente residuo,INCLUDE,,laboratory_record;residual_solvent_before_activation,1,1
LAB-DDS-015,"DDS4,2",109,,"3,5-diamino-4,4'-bipyrazole",Nc1n[nH]c(N)c1-c1cn[nH]c1,DLWHCOVNOOTWOY-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,DMF,DMF,15,,,Nessuno,,120,0.75,0.2,0.2,1,15,Microwave,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|120|0.75|0.2|0.2|15|microwave|350|15|15|15||",350,300–400,15,15,15,,,,,1,Amorphous/uncertain,false,IR buono; PXRD amorfo,INCLUDE,,laboratory_record;time_recovered_from_procedure,1,1
LAB-DDS-016,"DDS10,5",119,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O/DMF,H2O,12,DMF,3,Nessuno,,120,0.75,0.3,0.3,1,15,Microwave,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.75|0.3|0.3|15|microwave|200|10|15|15||",200,,10,15,15,,,,,2,Crystalline MOF,true,PXRD cristallino; IR buono,INCLUDE,,laboratory_record,1,1
LAB-DDS-017,"DDS10,6",127,,"3-amino-4,4'-bipyrazole",Nc1[nH]ncc1-c1cn[nH]c1,BNWJEGGLNCCFLN-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,H2O/DMF,H2O,12,DMF,3,Nessuno,,120,0.75,0.3,0.3,1,15,Microwave,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.75|0.3|0.3|15|microwave|200|15|15|15||",200,,15,15,15,,,,,2,Crystalline MOF,true,PXRD cristallino,INCLUDE,,laboratory_record;exact_duplicate_collapsed,2,1
LAB-DDS-018,"DDS4,3",141,,"3,5-diamino-4,4'-bipyrazole",Nc1n[nH]c(N)c1-c1cn[nH]c1,DLWHCOVNOOTWOY-UHFFFAOYSA-N,Zn,Zn(OAc)2·2H2O,acetate,2,2,DMF,DMF,15,,,Nessuno,,120,0.75,0.2,0.2,1,15,Microwave,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|120|0.75|0.2|0.2|15|microwave|200|15|15|15||",200,,15,15,15,,,,,2,Crystalline MOF,true,PXRD cristallino; dopo attivazione scompare il segnale del DMF,INCLUDE,,laboratory_record;activated,1,1
