Legante,Ligand_SMILES,Ligand_InChIKey,Structure_Status,Structure_Source
(NO2)2BPz,O=[N+]([O-])c1[nH]ncc1-c1cn[nH]c1[N+](=O)[O-],FVLPTQWPVHEIHM-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry
"1,2,4,5-Benzenetetracarboxylic acid",O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,CYIDZMCFTVVTJO-UHFFFAOYSA-N,resolved,PubChem PUG REST
"1,2,4-Triazole",c1nc[nH]n1,NSPMIYGKQJPBQR-UHFFFAOYSA-N,resolved,PubChem PUG REST
"1,3,5-BTB (0.2) / 2,6-NDC (0.2)",,,pubchem_http_404,unresolved
"1,3,5-tris(4-carboxyphenyl)benzene (BTB)",O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1,SATWKVZGMWCXOJ-UHFFFAOYSA-N,resolved,PubChem PUG REST
"1,3,6,8-tetrakis(p-benzoic acid)pyrene",,,pubchem_http_404,unresolved
"1,3,6,8-tetrakis(p-benzoic acid)pyrene (H4TBAPy)",,,pubchem_http_404,unresolved
"1,4-Benzenedicarboxylic acid (H2BDC)",O=C(O)c1ccc(C(=O)O)cc1,KKEYFWRCBNTPAC-UHFFFAOYSA-N,resolved,PubChem PUG REST
"1,4-Di(1H-pyrazol-4-yl)benzene",c1cc(-c2cn[nH]c2)ccc1-c1cn[nH]c1,RUGLQPNWHSDVER-UHFFFAOYSA-N,resolved,PubChem PUG REST
"1,4-Di(1H-pyrazol-4-yl)benzene BDP",,,pubchem_http_404,unresolved
"1H-pyrazole-3,5-dicarboxylic acid",O=C(O)c1cc(C(=O)O)[nH]n1,YDMVPJZBYSWOOP-UHFFFAOYSA-N,resolved,PubChem PUG REST
