Record_ID,MOF,Legante,Ligand_SMILES,Ligand_InChIKey,Famiglia_Legante,Metallo,Sale_Metallico,Counterion_Class,Hydration_Number,Oxidation_State,Solvente,Solvent_1,Solvent_1_mL,Solvent_2,Solvent_2_mL,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume_solvente_mL,Heating_Method,Microwave_Power_W,Workup,Outcome_Class,Outcome_Label,Outcome_Raw_Score,Outcome_Mapping_Rule,Yield_percent,PXRD_Confirmed,SCXRD_Confirmed,Evidence_Type,Evidence_Statement,Source_DOI,Source_Data_DOI,Article_Title,Extraction_Method,Extraction_Note,Protocol_Completeness,Precursor_Qualification,Experiment_Generation
V11-ALPMOF-G1S1,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6,3,H2O/DMSO (80:20 v/v),H2O,3.2,DMSO,0.8,Nessuno,200,1.0,0.025,0.05,0.5,4.0,Automated microwave synthesis,300,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",0,Failed / no isolated powder,1,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S1, article-assigned crystallinity score 1/10.",10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 3.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1
V11-ALPMOF-G1S2,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6,3,H2O/EtOH (80:20 v/v),H2O,3.2,EtOH,0.8,Nessuno,190,1.0,0.025,0.05,0.5,4.0,Automated microwave synthesis,200,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",0,Failed / no isolated powder,1,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S2, article-assigned crystallinity score 1/10.",10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 3.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1
V11-ALPMOF-G1S3,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6,3,H2O/DMSO (80:20 v/v),H2O,1.6,DMSO,0.4,Nessuno,175,0.6666666666666666,0.051,0.099,0.5151515151515151,2.0,Automated microwave synthesis,300,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,5,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S3, article-assigned crystallinity score 5/10.",10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 1.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1
V11-ALPMOF-G1S4,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6,3,H2O/DMF (80:20 v/v),H2O,1.6,DMF,0.4,Nessuno,200,0.3333333333333333,0.025,0.05,0.5,2.0,Automated microwave synthesis,250,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",0,Failed / no isolated powder,1,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S4, article-assigned crystallinity score 1/10.",10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 2.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1
V11-ALPMOF-G1S5,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6,3,H2O/DMSO (80:20 v/v),H2O,3.2,DMSO,0.8,Nessuno,175,0.3333333333333333,0.025,0.05,0.5,4.0,Automated microwave synthesis,200,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,5,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S5, article-assigned crystallinity score 5/10.",10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 3.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1
V11-ALPMOF-G1S6,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6,3,H2O/EtOH (80:20 v/v),H2O,1.6,EtOH,0.4,Nessuno,200,1.0,0.051,0.099,0.5151515151515151,2.0,Automated microwave synthesis,300,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,4,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S6, article-assigned crystallinity score 4/10.",10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 1.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1
V11-ALPMOF-G1S7,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6,3,H2O/DMSO (80:20 v/v),H2O,1.6,DMSO,0.4,Nessuno,200,1.0,0.051,0.099,0.5151515151515151,2.0,Automated microwave synthesis,200,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",2,Crystalline Al-PMOF,8,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,True,False,PXRD qualitative categorical score,"Supporting Table S4: G1S7, article-assigned crystallinity score 8/10.",10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 1.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1
V11-ALPMOF-G1S8,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6,3,H2O/EtOH (80:20 v/v),H2O,3.2,EtOH,0.8,Nessuno,175,0.3333333333333333,0.025,0.05,0.5,4.0,Automated microwave synthesis,300,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,2,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S8, article-assigned crystallinity score 2/10.",10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 3.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1
V11-ALPMOF-G1S9,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6,3,H2O/DMA (80:20 v/v),H2O,1.6,DMA,0.4,Nessuno,175,1.0,0.025,0.05,0.5,2.0,Automated microwave synthesis,200,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",1,Amorphous or poorly crystalline product,4,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,False,False,PXRD qualitative categorical score,"Supporting Table S4: G1S9, article-assigned crystallinity score 4/10.",10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 2.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1
V11-ALPMOF-G1S10,Al-PMOF (Al2(OH)2TCPP),meso-tetra(4-carboxyphenyl)porphine (H2TCPP),,,Porphyrin tetracarboxylate,Al,AlCl3·6H2O,chloride,6,3,H2O/1-propanol (80:20 v/v),H2O,1.6,1-propanol,0.4,Nessuno,175,1.0,0.051,0.099,0.5151515151515151,2.0,Automated microwave synthesis,250,"Centrifuged; washed with reaction organic solvent, then acetone; dried overnight at 60 °C (DMF additionally used when needed).",2,Crystalline Al-PMOF,7,Article-defined PXRD scale: 1=no powder; 2-5=amorphous/poor crystallinity; 6-10=crystalline Al-PMOF.,,True,False,PXRD qualitative categorical score,"Supporting Table S4: G1S10, article-assigned crystallinity score 7/10.",10.1038/s42004-022-00785-2,10.5281/zenodo.7186602,Using genetic algorithms to systematically improve the synthesis conditions of Al-PMOF,manual_primary_supplementary_table,"Direct transcription of Table S4; precursor quantities/volume resolved through Table S3, concentration code 1.",FULL_PROTOCOL,Formula and hydration explicitly reported in Table S3.,1
