# Source: Supplementary Data 1, DOI 10.1038/s41467-019-08483-9
# Published file: 41467_2019_8483_MOESM5_ESM.csv (column typo EeOH preserved as published)
sample,H2O,DMF,EeOH,MeOH,iPrOH,ReaRatio,Temp,Power,Time,Crystallinity,BET
G1-01,0.5,0,5,0,1,0.9,120,174,58,0.8,367
G1-02,5.5,0,0.5,0,0,1.7,182,248,57,0.55,0
G1-03,0,5.5,0.5,0,0,1.8,114,155,7,0.7,0
G1-04,0,0,5,0,0,1.7,198,226,4,0.75,0
G1-05,0.5,4.5,0,0,0,0.9,108,250,50,0.75,0
G1-06,5,0.5,0,0,0,0.9,101,176,6,0.35,0
G1-07,0,0.5,0,1,4,1.8,107,232,60,0.65,0
G1-08,1,0,0,0,4.5,1,158,249,6,0.4,0
G1-09,0,0,0,5.5,0,1.5,138,211,20,0.8,0
G1-10,4,0,0,0.5,0,1.7,200,154,4,0.1,0
G1-11,0,5,0,0.5,0.5,0.9,198,165,53,0.6,0
G1-12,0,0,0.5,5,0,0.8,174,248,54,0.6,0
G1-13,0.5,0.5,0,5,0,1.7,132,152,44,0.7,0
G1-14,0,0,5,0,0,0.8,129,250,34,0.7,0
G1-15,0,0,0,0,5.5,1.8,191,172,30,0.55,0
G1-16,0.5,4.5,0,0,0.5,0.8,194,206,8,0.7,0
G1-17,5,0,0.5,0,0.5,1.7,100,150,59,0.2,0
G1-18,4.5,0.5,0,0,0,1.7,126,244,2,0.5,0
G1-19,0,0.5,1,0.5,3.5,1.3,110,154,3,0.5,0
G1-20,0,0,0,6,0,1.5,143,183,22,0.75,0
G1-21,0.5,1.5,0,0,4,1.3,200,248,60,0.8,0
G1-22,5,0.5,0,0.5,0,0.9,196,206,24,0.3,0
G1-23,0,4.5,0,0.5,0,1.8,168,246,3,0.65,0
G1-24,0.5,4.5,0,0.5,0.5,1.3,114,151,58,0.75,0
G1-25,0.5,0,0,1.5,3.5,0.8,100,157,57,0.2,0
G1-26,3,0,3,0,0,0.8,129,150,17,0.6,0
G1-27,0.5,1,0,4,0,1.8,176,246,44,0.8,526
G1-28,1,0,3.5,0,0,1.7,199,151,46,0.65,0
G1-29,0,0.5,5,0,0,0.9,125,164,2,0.75,0
G1-30,0,0,3.5,0,2,1.6,102,238,11,0.6,0
G2-01,0,2.5,2.5,0,0,1.5,140,200,20,0.7,0
G2-02,1,0,3.5,0,0,1.7,199,200,46,0.9,536
G2-03,0.5,0,2,0,2,1.74,196,210,40,0.7,0
G2-04,0,5,0.5,0,0.5,1.6,140,210,28,0.95,1888
G2-05,0.15,3.25,0.05,2.1,0.1,1.3,103,176,52,0.85,0
G2-06,1.5,1,3,0,0,1.56,140,200,20,0.9,0
G2-07,0,3.5,0,0,0.5,0.88,198,200,41,0.75,0
G2-08,0,0,5,0,0,1.27,113,210,19,0.75,0
G2-09,0,4.5,0,0,0,1.79,123,200,7,0.95,935
G2-10,1.5,1.5,0,0,1.5,1.6,143,200,20,0.8,1771
G2-11,1.5,1,3,0,0,1.6,140,200,20,0.85,1295
G2-12,0,0,0,2.5,2.5,0.8,100,190,41,0.4,0
G2-13,0,0,2,0,2.5,1.12,106,180,3,0.5,0
G2-14,3,0,2.5,0,0,1.5,139,200,20,0.75,1790
G2-15,0.5,2,2,0,0,1.5,140,200,20,0.8,1397
G2-16,3,0,1.5,0,0,1.3,150,210,26,0.2,0
G2-17,0,0.5,2,2.5,0,1.34,129,210,25,0.9,1208
G2-18,0,3,1.5,0,0,1.15,118,210,37,0.75,0
G2-19,0,4.5,0,0,0,1.41,114,200,46,0.75,0
G2-20,0.5,1.5,2,0,0,1.39,164,180,31,0.85,830
G2-21,0,0,0,0,1,0.9,179,150,2,0.4,0
G2-22,0.5,0,0,0,2.5,1.18,173,180,13,0.2,0
G2-23,0.5,0,4.5,0.55,0.15,1.1,157,172,45,0.65,0
G2-24,0.5,0,0,4,0,1.59,127,190,38,0.85,1357
G2-25,4.5,0,0.5,0,0.5,1.67,101,200,54,0.65,0
G2-26,0.15,4.65,0.1,0,1,0.8,116,241,59,0.7,0
G2-27,1.5,1.5,1.5,1.5,2,0.8,143,200,2,0.7,0
G2-28,0,3,4.5,0,0,0.86,140,210,3,0.75,0
G2-29,0,0,3.5,0,0.5,0.98,128,220,2,0.5,0
G2-30,0,4.5,0,0,2,0.8,200,240,60,0.85,1607
G3-01,0,0,0,4.5,0.5,0.9,169,236,32,0.8,0
G3-02,0,3,0,0.5,0,1.37,108,210,5,0.7,0
G3-03,0,0,0,0.5,0.5,1.79,101,150,6,0.65,0
G3-04,0,0.5,5,0,0,0.9,125,210,2,0.85,0
G3-05,0.5,0.5,0.5,0,3.5,1.5,140,200,20,0.85,1201
G3-06,3,0,3,0,0,1.5,140,150,30,0.6,1107
G3-07,3,0,3,0,0,1.5,140,150,40,0.55,1028
G3-08,2,1,2,0,0,1.5,140,180,17,0.8,931
G3-09,2,2,1.5,0,0,1.5,140,200,20,0.9,748
