Sample#,SampleID,Metal,Linker,AA Conc,Temp,first_hetero_h,first_solid_h,first_hetero_or_solid_h,Primary Phase,Secondary Phase
1,MG2-75-01,Sc,BDC,0,80,0,0,0,no solid product,n/a
2,MG2-75-02,Sc,Phthalic,0,80,,,,no solid product,n/a
3,MG2-75-03,Sc,Isophthalic,0,80,,,,no solid product,n/a
4,MG2-75-04,Sc,BTC,0,80,0.019,0.019,0.019,no crystalline product,n/a
5,MG2-75-05,Sc,Trimellitic,0,80,0.026,0.026,0.026,no crystalline product,n/a
6,MG2-75-06,Sc,Pyromellitic,0,80,0.031,10.03,0.031,DEJJEK,n/a
7,MG2-75-07,Sc,Mellitic,0,80,0.039,0.039,0.039,no crystalline product,NCP
8,MG2-75-08,Sc,BDC,2,80,,,,no solid product,n/a
9,MG2-75-09,Sc,Phthalic,2,80,,,,no solid product,n/a
10,MG2-75-10,Sc,Isophthalic,2,80,,,,no solid product,n/a
11,MG2-75-11,Sc,BTC,2,80,0.064,0.064,0.064,NU-2502,n/a
12,MG2-75-12,Sc,Trimellitic,2,80,,,,no solid product,n/a
13,MG2-75-13,Sc,Pyromellitic,2,80,0.077,0.077,0.077,DEJJEK,n/a
14,MG2-75-14,Sc,Mellitic,2,80,0.083,0.083,0.083,no crystalline product,NCP
15,MG2-75-15,Sc,BDC,5,80,19.088,,19.088,no solid product,n/a
16,MG2-75-16,Sc,Phthalic,5,80,19.094,,19.094,no solid product,n/a
17,MG2-75-17,Sc,Isophthalic,5,80,19.1,,19.1,no solid product,n/a
18,MG2-75-18,Sc,BTC,5,80,0.109,0.109,0.109,NU-2502,n/a
19,MG2-75-19,Sc,Trimellitic,5,80,19.112,,19.112,no solid product,n/a
20,MG2-75-20,Sc,Pyromellitic,5,80,0.122,1.213,0.122,DEJJEK,n/a
21,MG2-75-21,Sc,Mellitic,5,80,0.128,0.676,0.128,no crystalline product,NCP
22,MG2-75-22,Sc,BDC,10,80,19.131,,19.131,no solid product,n/a
23,MG2-75-23,Sc,Phthalic,10,80,19.138,,19.138,no solid product,n/a
24,MG2-75-24,Sc,Isophthalic,10,80,19.144,,19.144,no solid product,n/a
25,MG2-75-25,Sc,BTC,10,80,1.247,4.153,1.247,NU-2502,n/a
26,MG2-75-26,Sc,Trimellitic,10,80,19.158,,19.158,no solid product,n/a
27,MG2-75-27,Sc,Pyromellitic,10,80,0.166,0.166,0.166,DEJJEK,n/a
28,MG2-75-28,Sc,Mellitic,10,80,0.173,0.173,0.173,no crystalline product,NCP
29,MG2-75-29,Y,BDC,0,80,,,,no solid product,n/a
30,MG2-75-30,Y,Phthalic,0,80,,,,no solid product,n/a
31,MG2-75-31,Y,Isophthalic,0,80,,,,no solid product,n/a
32,MG2-75-32,Y,BTC,0,80,0.744,0.744,0.744,BEVSUR,n/a
33,MG2-75-33,Y,Trimellitic,0,80,0.751,0.751,0.751,VOYWUB,n/a
34,MG2-75-34,Y,Pyromellitic,0,80,19.21,2.208,2.208,UZATAR,n/a
35,MG2-75-35,Y,Mellitic,0,80,0.217,0.217,0.217,unknown phase,n/a
36,MG2-75-36,Y,BDC,2,80,,,,no solid product,n/a
37,MG2-75-37,Y,Phthalic,2,80,19.229,,19.229,no solid product,n/a
38,MG2-75-38,Y,Isophthalic,2,80,,,,no solid product,n/a
39,MG2-75-39,Y,BTC,2,80,19.242,19.242,19.242,BEVSUR,n/a
40,MG2-75-40,Y,Trimellitic,2,80,0.796,1.341,0.796,VOYWUB,n/a
41,MG2-75-41,Y,Pyromellitic,2,80,,2.252,2.252,UZATAR,unknown phase
42,MG2-75-42,Y,Mellitic,2,80,0.261,0.261,0.261,unknown phase,n/a
43,MG2-75-43,Y,BDC,5,80,19.268,,19.268,no solid product,n/a
