record_id,fold,true_class,P_failed,P_amorphous,P_crystalline,predicted_class,condition_group
LAB-DDS-002,4,2,0.3481553532623541,0.15108655511257718,0.5007580916250687,2,"3-amino-4,4'-bipyrazole|zn|h2o|nessuno|25|6|0.2|0.2|10|room temperature||||||15"
LAB-DDS-003,3,0,0.2293052332753693,0.23841481327000774,0.5322799534546229,2,"3-amino-4,4'-bipyrazole|zn|h2o|acido acetico + trietilammina (tea)|25|16|0.2|0.2|10|room temperature||||||"
LAB-DDS-004,3,2,0.2583919328714691,0.23712265113470318,0.5044854159938278,2,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|120|4|0.2|0.2|20|solvothermal||||||10"
LAB-DDS-005,4,2,0.2804790405278046,0.14111108753565016,0.5784098719365451,2,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|120|6|0.2|0.2|15|solvothermal||||||10"
LAB-DDS-006,2,2,0.42684680400288416,0.16364659273298682,0.40950660326412897,0,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|25|0.166667|0.2|0.2|11|sonochemical|||||60|10"
LAB-DDS-007,1,0,0.5123966123445961,0.14263544539323894,0.3449679422621649,0,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.583333|0.2|0.2|8|microwave|150|10|10|15||"
LAB-DDS-008,5,0,0.21803831885139244,0.18527481896973988,0.5966868621788677,2,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|70|2.333333|0.2|0.2|10|sonochemical + thermal|||||200|20"
LAB-DDS-009,1,2,0.340921061024538,0.20109621024088065,0.4579827287345813,2,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|70|2.333333|0.2|0.2|20|sonochemical + thermal|||||200|20"
LAB-DDS-010,2,2,0.2636215839696455,0.20958275588707295,0.5267956601432815,2,"3-amino-4,4'-bipyrazole|zn|h2o|nessuno|25|16|0.3|0.3|10|room temperature||||||"
LAB-DDS-011,5,2,0.20655749551547622,0.23837368166957795,0.5550688228149457,2,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.583333|0.2|0.2|10|microwave|200|10|15|15||"
LAB-DDS-014,5,2,0.1403023942882171,0.14804970699834835,0.7116478987134345,2,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.666667|0.3|0.3|15|microwave|200|10|15|15||"
LAB-DDS-015,4,1,0.27217478706969966,0.1425486870825935,0.5852765258477068,2,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|120|0.75|0.2|0.2|15|microwave|350|15|15|15||"
LAB-DDS-016,3,2,0.15083353653671933,0.17338607918624152,0.675780384277039,2,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.75|0.3|0.3|15|microwave|200|10|15|15||"
LAB-DDS-017,1,2,0.16618510516466567,0.15997829176000575,0.6738366030753286,2,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.75|0.3|0.3|15|microwave|200|15|15|15||"
LAB-DDS-018,3,2,0.2356094512392216,0.29689703069176154,0.4674935180690168,2,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|120|0.75|0.2|0.2|15|microwave|200|15|15|15||"
LAB-DDS-019,2,2,0.21717092584815434,0.23837031692201552,0.5444587572298301,2,"3,5-diamino-4,4'-bipyrazole|zn|dmf|nessuno|120|0.75|0.3|0.3|15|microwave|200|15|15|15||"
LAB-DDS-020,1,2,0.16618510516466567,0.15997829176000575,0.6738366030753286,2,"3-amino-4,4'-bipyrazole|zn|h2o/dmf|nessuno|120|0.75|0.3|0.3|15|microwave|200|15|15|15||"
