validation,fold,n_test,macro_f1,balanced_accuracy,mcc
unseen_ligand,1,123,0.3742320519571704,0.38019801980198015,0.20662604452194663
unseen_ligand,2,170,0.4906642593846386,0.5688552188552188,0.5189777985568057
unseen_ligand,3,126,0.6709528032318456,0.6529015646662705,0.5494254283611036
unseen_ligand,4,120,0.38031816500184984,0.3708513708513708,0.19021773332859498
unseen_ligand,5,122,0.37822153951186205,0.39999999999999997,0.23557501031918762
unseen_scaffold,1,132,0.31746031746031744,0.3333333333333333,0.0
unseen_scaffold,2,226,0.26532652454675637,0.34039256198347106,0.02622671321399716
unseen_scaffold,3,93,0.4351334574798262,0.4128787878787879,0.29549634061708335
unseen_scaffold,4,99,0.3118279569892473,0.3333333333333333,0.0
unseen_scaffold,5,111,0.3021346469622332,0.3333333333333333,0.0
